newTime,origin_stop,month,time,quantity,timeOfDay
2019-05-03,600018,2019-05,Weekday (3:00pm-6:59:59pm),609425,03
2019-05-04,600018,2019-05,Weekday (7:00pm-11:59:59pm),68689,04
2019-05-05,600018,2019-05,Weekend,48276,05
2019-06-01,600018,2019-06,Weekday (12:00am-8:29:59am),16682,01
2019-06-02,600018,2019-06,Weekday (8:30am-2:59:59pm),125623,02
2019-06-03,600018,2019-06,Weekday (3:00pm-6:59:59pm),544907,03
2019-06-04,600018,2019-06,Weekday (7:00pm-11:59:59pm),59557,04
2019-06-05,600018,2019-06,Weekend,61325,05
2019-07-01,600018,2019-07,Weekday (12:00am-8:29:59am),19316,01
2019-07-02,600018,2019-07,Weekday (8:30am-2:59:59pm),148752,02
2019-07-03,600018,2019-07,Weekday (3:00pm-6:59:59pm),628317,03
2019-07-04,600018,2019-07,Weekday (7:00pm-11:59:59pm),65308,04
2019-07-05,600018,2019-07,Weekend,52386,05
2019-08-01,600018,2019-08,Weekday (12:00am-8:29:59am),18926,01
2019-08-02,600018,2019-08,Weekday (8:30am-2:59:59pm),147344,02
2019-08-03,600018,2019-08,Weekday (3:00pm-6:59:59pm),584440,03
2019-08-04,600018,2019-08,Weekday (7:00pm-11:59:59pm),67647,04
2019-08-05,600018,2019-08,Weekend,63309,05
2019-09-01,600018,2019-09,Weekday (12:00am-8:29:59am),18194,01
2019-09-02,600018,2019-09,Weekday (8:30am-2:59:59pm),138559,02
2019-09-03,600018,2019-09,Weekday (3:00pm-6:59:59pm),570913,03
2019-09-04,600018,2019-09,Weekday (7:00pm-11:59:59pm),64132,04
2019-09-05,600018,2019-09,Weekend,59652,05
2019-10-01,600018,2019-10,Weekday (12:00am-8:29:59am),19764,01
2019-10-02,600018,2019-10,Weekday (8:30am-2:59:59pm),146261,02
2019-10-03,600018,2019-10,Weekday (3:00pm-6:59:59pm),603632,03
2019-10-04,600018,2019-10,Weekday (7:00pm-11:59:59pm),65077,04
2019-10-05,600018,2019-10,Weekend,52632,05
2019-11-01,600018,2019-11,Weekday (12:00am-8:29:59am),16965,01
2019-11-02,600018,2019-11,Weekday (8:30am-2:59:59pm),125142,02
2019-11-03,600018,2019-11,Weekday (3:00pm-6:59:59pm),510724,03
2019-11-04,600018,2019-11,Weekday (7:00pm-11:59:59pm),61832,04
2019-11-05,600018,2019-11,Weekend,46553,05
2019-12-01,600018,2019-12,Weekday (12:00am-8:29:59am),14783,01
2019-12-02,600018,2019-12,Weekday (8:30am-2:59:59pm),118999,02
2019-12-03,600018,2019-12,Weekday (3:00pm-6:59:59pm),374944,03
2019-12-04,600018,2019-12,Weekday (7:00pm-11:59:59pm),59950,04
2019-12-05,600018,2019-12,Weekend,48926,05
2017-01-01,1797,2017-01,Weekday (12:00am-8:29:59am),224,01
2017-01-02,1797,2017-01,Weekday (8:30am-2:59:59pm),5160,02
2017-01-03,1797,2017-01,Weekday (3:00pm-6:59:59pm),8209,03
2017-01-04,1797,2017-01,Weekday (7:00pm-11:59:59pm),2002,04
2017-01-05,1797,2017-01,Weekend,2001,05
2017-02-01,1797,2017-02,Weekday (12:00am-8:29:59am),282,01
2017-02-02,1797,2017-02,Weekday (8:30am-2:59:59pm),12397,02
2017-02-03,1797,2017-02,Weekday (3:00pm-6:59:59pm),14989,03
2017-02-04,1797,2017-02,Weekday (7:00pm-11:59:59pm),3663,04
2017-02-05,1797,2017-02,Weekend,3373,05
2017-03-01,1797,2017-03,Weekday (12:00am-8:29:59am),514,01
2017-03-02,1797,2017-03,Weekday (8:30am-2:59:59pm),26832,02
2017-03-03,1797,2017-03,Weekday (3:00pm-6:59:59pm),37424,03
2017-03-04,1797,2017-03,Weekday (7:00pm-11:59:59pm),11420,04
2017-03-05,1797,2017-03,Weekend,5978,05
2017-04-01,1797,2017-04,Weekday (12:00am-8:29:59am),384,01
2017-04-02,1797,2017-04,Weekday (8:30am-2:59:59pm),16620,02
2017-04-03,1797,2017-04,Weekday (3:00pm-6:59:59pm),23074,03
2017-04-04,1797,2017-04,Weekday (7:00pm-11:59:59pm),8765,04
